Metric,DQN,PPO
Final Performance (Mean),1301.1999918619792,3535.3333333333335
Final Performance (Std),163.1059314016539,1826.8665340777725
Training Stability (AUC),1332.7612319139132,2700.635766024409
Sample Efficiency (Steps),2921.6666666666665,426666.6666666667
Avg Loss (Final),0.003065228787212012,0.0008298583852592856
Avg Episode Length (Final),8589.173177083334,2534.0792196591697
